eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
197308150003,1973,8,15,,0,,144,New Zealand,12,Australasia & Oceania,Canterbury,Christchurch,-43.532054,172.636225,1.0,0,,,1,1,1,-9,,,0.0,1,0,2,Armed Assault,,,,,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",,U.S. Cars near agent offices,217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,8,Incendiary,,,8.0,Incendiary,20.0,Gasoline or Alcohol,,,,,,,,,Incendiary; Gasoline bombs,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
197412240001,1974,12,24,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1.0,0,,,1,1,1,-9,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,6,Airports & Aircraft,43.0,Airline Officer/Personnel,,Pan American Airlines ticket office downtown,217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
197802130001,1978,2,13,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1.0,0,,,1,1,1,-9,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,8.0,Hotel/Resort,,Sydney Hilton Hotel,14.0,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,2.0,,,9.0,,,1,3.0,Minor (likely < $1 million),2000.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
197805270003,1978,5,27,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",,"Residence,  Indian Ambassador",92.0,India,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
197901040001,1979,1,4,,0,,14,Australia,12,Australasia & Oceania,Australian Capital Territory,Canberra,-35.308236,149.124224,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,2,Government (General),20.0,Intelligence,,"home Brain Brit, intelligence analyst",14.0,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
197904000001,1979,4,0,,0,,14,Australia,12,Australasia & Oceania,Western Australia,Perth,-31.952854,115.857339,1.0,0,,,1,1,1,-9,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,7.0,Retail/Grocery/Bakery,,Boans Department Store,14.0,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,1.0,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,9.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
198006300002,1980,6,30,,0,,532,New Hebrides,12,Australasia & Oceania,Shefa,Port Vila,-17.734818,168.322029,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,10,Journalists & Media,54.0,Radio Journalist/Staff/Facility,Radio Vanuatu,radio station,220.0,Vanuatu,,,,,,,,,,,,,,,,,Secessionists,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
198011060004,1980,11,6,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1.0,0,,,1,1,1,-9,,,0.0,1,0,2,Armed Assault,,,,,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",,Home of Nicholas Papallo (42)-Honorary  Vice Consul,98.0,Italy,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic rifles,0.0,,,1.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
198012000001,1980,12,0,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Maitland,-32.733664,151.557668,1.0,0,,,1,1,1,-9,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,7.0,Retail/Grocery/Bakery,,Woolworth Store,14.0,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,,,,,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
198012000002,1980,12,0,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Warilla,-34.547304,150.86172,1.0,0,,,1,1,1,-9,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,7.0,Retail/Grocery/Bakery,,Woolworths Store,14.0,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,,,,,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
198012170005,1980,12,17,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1.0,0,,,1,1,0,1,1.0,Insurgency/Guerilla Action,0.0,1,0,1,Assassination,,,,,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Turkish Government,"Sarik Ariyak; 50, Engin Sever; 28/Turkish General and bodyguard",209.0,Turkey,,,,,,,,,,,,,,,,,Justice Commandos for the Armenian Genocide,,,,,,,0.0,,,0,2.0,,,,,,,,,,,,5,Firearms,3.0,Handgun,,,,,,,,,,,,,Pistol,2.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,1,1,1,1,
198012240001,1980,12,24,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1.0,0,,,1,1,1,-9,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,7.0,Retail/Grocery/Bakery,,Woolworth's store,14.0,Australia,,,,,,,,,,,,,,,,,Extortionists,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,2.0,,,1,,,,"Damages: explosion, broken windows (store)",0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
198012280001,1980,12,28,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Liverpool,-33.920019,150.924127,1.0,0,,,1,1,1,-9,,,0.0,0,0,3,Bombing/Explosion,,,,,1,Business,7.0,Retail/Grocery/Bakery,,Woolworths store,14.0,Australia,,,,,,,,,,,,,,,,,Extortionists,,,,,,,0.0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
198108120008,1981,8,12,,0,,144,New Zealand,12,Australasia & Oceania,Canterbury,Christchurch,-43.532054,172.636225,1.0,0,,,1,1,1,-9,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,79.0,"Public Area (garden, parking lot, garage, beach, public building, camp)",,training ground grandstand at rugby park,183.0,South Africa,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,Arson,0.0,,,0.0,,,1,,,,"Damages: arson, destroyed and gutted grandstand",0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
198108130003,1981,8,13,,0,,144,New Zealand,12,Australasia & Oceania,Canterbury,Christchurch,-43.532054,172.636225,1.0,0,,,1,1,1,-9,,,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,79.0,"Public Area (garden, parking lot, garage, beach, public building, camp)",,Lancaster Park Rugby Ground,144.0,New Zealand,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
198111160001,1981,11,16,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1.0,0,,,1,1,1,0,,,0.0,1,0,1,Assassination,,,,,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",Government of Greece,"Consul-general to Australia, C. Giannaris",78.0,Greece,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,9,Melee,23.0,Knife or Other Sharp Object,,,,,,,,,,,,,Stabbed,1.0,,,0.0,,,0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
198212230001,1982,12,23,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,,Israeli Consulate (in Westfield Tower on William Street),97.0,Israel,,,,,,,,,,,,,,,,,Palestine Liberation Organization (PLO),,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,3.0,,,1,,,,"Damages: explosion, damaged 3 floors of high rise building (consulate)",0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,1,1,1,1,
198212230002,1982,12,23,,0,,14,Australia,12,Australasia & Oceania,New South Wales,Sydney,-33.873651,151.20689,1.0,0,,,1,1,1,-9,,,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,82.0,Labor Union Related,,Hakoah Club (largest Jewish club in the city),14.0,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,,,,,,,1,,,,"Damages: explosion, destroyed 2 cars",0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
